public_file,basename,match_path,match_basename,match_total,no_match
"we-look-for/pathway-quote-icon.png","pathway-quote-icon.png","1","1","2","false"
"we-look-for/pathway-tab-1.svg","pathway-tab-1.svg","1","1","2","false"
"we-look-for/pathway-tab-2.svg","pathway-tab-2.svg","1","1","2","false"
"we-look-for/pathway-tab-3.png","pathway-tab-3.png","1","1","2","false"
"we-look-for/process-briefcase.svg","process-briefcase.svg","1","1","2","false"
"we-look-for/process-checklist.svg","process-checklist.svg","1","1","2","false"
"we-look-for/process-click.svg","process-click.svg","1","1","2","false"
"we-look-for/process-filter.svg","process-filter.svg","1","1","2","false"
"we-look-for/process-interview.svg","process-interview.svg","1","1","2","false"
"we-look-for/programs-line.svg","programs-line.svg","1","1","2","false"
"we-look-for/programs-star.svg","programs-star.svg","1","1","2","false"
"we-look-for/search-hero-texture.png","search-hero-texture.png","2","2","4","false"
"we-look-for/section-star.svg","section-star.svg","2","2","4","false"
"we-look-for/timeline-1.svg","timeline-1.svg","1","1","2","false"
"we-look-for/timeline-2.svg","timeline-2.svg","1","1","2","false"
"we-look-for/timeline-3.svg","timeline-3.svg","1","1","2","false"
